Polling Firm,Commissioner,Date,Sample Size,New Democracy,Coalition of the Left,Movement for Change,Communist Party of Greece,Spartans,Greek Solution,Niki,Course of Freedom,European Realistic Disobedience Front,Others
Interview,Politic,2024-1-15,2388,34.9,14.7,13.6,8.5,2.6,8.2,4.9,2.3,0,
Marc,ProtoThema,2024-1-15,1093,38.4,11.2,14.7,10.0,2.8,6.9,3.3,3.5,2.7,
Opinion Poll,TheTOC,2024-1-12,1005,39.1,13.2,14.4,8.6,1.8,6.7,3.0,3.4,2.0,
GPO,Parapolitika,2024-1-11,1000,39.4,12.1,14.7,9.9,2.3,7.2,3.2,3.2,2.5,
Prorata,Attica TV,2024-1-9,1000,36.6,12.8,15.9,11.0,3.7,6.1,3.7,3.0,1.8,
Alco,Alpha TV,2024-1-5,1002,35.4,13.8,14.2,11.3,3.2,6.9,3.3,3.3,2.5,
Palmos Analysis,Eleftheros Typos,2023-12-28,1200,38.7,12.6,14.7,10.3,3.6,5.9,3.1,3.2,2.8,
Pulse,Skai,2023-12-20,1107,36.0,14.0,16.0,10.0,3.5,6.0,3.5,3.0,2.5,
Metron Analysis,Mega TV,2023-12-19,1300,38.0,12.4,14.0,10.0,3.0,7.2,3.7,3.7,2.2,
Opinion Poll,Action24,2023-12-15,1004,38.6,13.4,15.5,9.2,2.7,6.7,3.5,2.6,2.3,
Interview,Politic,2023-12-8,2356,35.4,14.8,14.2,7.6,2.3,7.4,4.5,3.5,0,
GPO,Parapolitika,2023-12-7,1000,41.2,11.3,14.0,10.3,3.7,6.2,3.1,3.2,1.7,
MRB,Open TV,2023-12-6,2000,38.8,13.0,14.6,9.7,3.6,6.0,3.2,3.9,2.6,
Real Polls,Documento,2023-11-29,1772,37.4,14.7,12.8,10.8,3.4,5.5,3.2,3.1,1.7,
Metron Analysis,Mega TV,2023-11-28,1303,38.2,12.7,15.3,11.5,3.8,5.7,3.3,3.4,2.8,
Pulse,Skai TV,2023-11-21,1112,38.0,14.5,15.0,10.5,3.5,5.5,3.0,3.0,3.5,
Prorata, Prorata,2023-11-20,1000,41.7,12.7,14.7,12.9,3.1,4.9,3.1,4.3,2.5
Marc,ProtoThema,2023-11-18,1000,39.0,13.8,14.3,9.6,3.4,5.6,2.9,3.3,3.2,
GPO,Parapolitika,2023-11-15,1200,41.8,12.8,14.0,10.3,4.2,6.3,3.3,3.6,1.4,
Opinion Poll,Action24,2023-11-15,1011,38.5,14.7,16.0,10.6,3.0,6.3,3.9,2.5,2.4,
Alco,Alpha TV,2023-11-03,1000,38.8,15.4,14.5,9.8,3.0,5.9,3.6,3.0,2.1,
MRB,Open TV,2023-11-02,1000,38.0,15.2,13.9,9.6,2.5,7.7,3.4,3.8,3.2,
Pulse,Skai TV,2023-10-30,1163,38.5,17.0,13.5,9.5,3.5,5.5,3.5,3.0,3.0,
Metron Analysis,Mega TV,2023-10-24,1301,38.0,15.2,13.4,10.2,2.6,6.9,3.2,3.7,3.5,
GPO,Star TV,2023-10-20,1000,41.6,14.7,13.5,9.7,4.0,6.1,2.8,2.6,0,
Prorata,Attica TV,2023-10-02,1000,38.5,17.3,12.8,10.6,3.9,6.7,3.4,2.2,0,
MRB,Open TV,2023-09-28,1000,38.0,17.3,12.1,9.0,3.3,7.3,3.9,2.9,2.8,
Pulse,Skai TV,2023-09-27,1142,38.0,19.0,12.0,9.0,4.0,6.0,3.0,3.0,2.0,
Metron Analysis,Mega TV,2023-09-26,1300,36.4,16.8,12.5,9.5,3.9,7.5,4.4,3.1,2.4,
Alco,Alpha TV,2023-09-28,1058,37.2,17.6,13.6,8.9,5.2,5.8,2.9,3.1,2.2,
Opinion Poll,Action24,2023-09-26,1058,39.1,17.3,12.3,9.5,3.6,5.9,4.6,3.4,0,


